,Unnamed: 0,agent0_angle,time,frames,agent1_angle,agent1_x,agent0_y,agent0_x,agent1_y,agent0_vx,agent0_vy,agent0_speed,agent0/agent1_dist,agent1_vx,agent1_vy,agent1_speed
395,395,253.86,Wed Mar 01 12:17:33 2017,396,267.232,58.7955,52.2658,69.6718,65.1657,-6.075210351562414,13.082781249999993,,16.873094609466285,-1.8679068359374853,-1.8933927734375768,
396,396,259.307,Wed Mar 01 12:17:33 2017,397,266.92900000000003,58.7971,52.6766,69.48100000000001,64.9887,-1.951798046875054,9.748371093749993,,16.301335087041185,0.016990625000035856,-1.8795878906250714,
397,397,259.865,Wed Mar 01 12:17:33 2017,398,267.10400000000004,58.7971,53.1838,69.488,64.9887,-1.8148111328125336,19.43939882812497,,15.926424797172777,0.0,0.0,
398,398,259.305,Wed Mar 01 12:17:33 2017,399,267.10400000000004,58.7971,54.5072,69.3101,64.9887,-2.8703537109375636,18.389165820312538,,14.845370027385645,0.015928710937500604,-1.8806498046874556,
399,399,251.24400000000003,Wed Mar 01 12:17:33 2017,400,268.482,58.7986,54.9155,69.2177,64.8116,-2.9627402343751124,11.9306044921875,,14.36977522510355,-1.8689687500000207,-1.893392773437426,
400,400,232.873,Wed Mar 01 12:17:33 2017,401,270.825,58.6211,55.6307,69.0311,64.8104,-4.056511718749903,8.72999550781249,,13.879300850186944,-1.8689687500000207,-1.893392773437426,
401,401,219.535,Wed Mar 01 12:17:33 2017,402,268.719,58.6226,55.7376,68.8357,64.6333,-3.105036718750007,2.2395767578125247,,13.544035222192836,0.015928710937500604,-1.8806498046874556,
402,402,211.182,Wed Mar 01 12:17:33 2017,403,268.719,58.6226,55.8416,68.7387,64.6333,-5.1609023437500445,4.443048437500133,,13.402591842625068,-1.8689687500000207,-1.894454687500112,
403,403,195.963,Wed Mar 01 12:17:33 2017,404,270.127,58.4466,56.15600000000001,68.3497,64.4549,-6.217506835937459,3.3928154296874777,,12.92064746133102,-1.8689687500000207,-1.894454687500112,
404,404,190.326,Wed Mar 01 12:17:33 2017,405,270.949,58.4466,56.1611,68.1532,64.4549,-10.414191210937489,1.3571261718748553,,12.767349059221338,0.0,0.0,
405,405,193.173,Wed Mar 01 12:17:33 2017,406,272.382,58.4466,56.2838,67.369,64.4549,-10.413129296874953,1.3603119140625366,,12.098598967235834,0.0,0.0,
406,406,198.674,Wed Mar 01 12:17:33 2017,407,272.382,58.4466,56.2892,67.1726,64.4549,-4.1658888671875625,0.11468671875003453,,11.950804679602122,-1.8689687499999452,-1.893392773437426,
407,407,211.174,Wed Mar 01 12:17:33 2017,408,272.061,58.2706,56.2946,66.9767,64.2766,-5.171521484375096,2.2894867187500214,,11.81137169045153,-1.8689687499999452,-1.893392773437426,
408,408,232.872,Wed Mar 01 12:17:34 2017,409,271.022,58.2706,56.5048,66.6856,64.2766,-5.1439117187499335,4.435615039062462,,11.45482868662818,0.032919335937461006,-3.7612996093749866,
409,409,245.109,Wed Mar 01 12:17:34 2017,410,271.856,58.2737,56.7123,66.4923,63.9224,-3.06574589843741,4.374024023437455,,10.93302007544119,0.032919335937461006,-3.7612996093749866,
410,410,265.327,Wed Mar 01 12:17:34 2017,411,271.856,58.2737,56.9167,66.3969,63.9224,-0.9822705078125121,4.320928320312503,,10.726891941750887,-1.885959374999981,-0.013804882812505553,
411,411,-89.1354,Wed Mar 01 12:17:34 2017,412,270.015,58.0961,57.1192,66.3998,63.9211,0.09132460937501352,6.447942187499988,,10.733931120516846,-1.885959374999981,-0.013804882812505553,
412,412,-78.1196,Wed Mar 01 12:17:34 2017,413,271.123,58.0961,57.5239,66.4055,63.9211,1.1383718750000633,6.420332421874977,,10.486672312988526,-1.885959374999981,-0.012742968750045755,
413,413,-80.8358,Wed Mar 01 12:17:34 2017,414,270.118,57.9185,57.7238,66.507,63.9199,1.113947851562507,4.277389843749991,,10.59027796896758,-1.885959374999981,-0.012742968750045755,
414,414,268.085,Wed Mar 01 12:17:34 2017,415,270.118,57.9185,57.9267,66.5104,63.9199,1.1298765624999323,5.361604101562568,,10.475647562322822,0.016990624999960402,-1.8806498046874556,
415,415,243.943,Wed Mar 01 12:17:34 2017,416,272.208,57.9201,58.2287,66.6134,63.7428,1.07465703124991,2.138694921875071,,10.294598763429297,0.016990624999960402,-1.8806498046874556,
416,416,230.818,Wed Mar 01 12:17:34 2017,417,273.17,57.9201,58.1281,66.6116,63.7428,-0.007433398437444949,0.00955722656244,,10.347319862650423,0.03185742187500121,-3.762361523437522,
417,417,221.218,Wed Mar 01 12:17:34 2017,418,272.245,57.9231,58.2296,66.6127,63.3885,-3.083798437499906,4.391014648437491,,10.105612171956736,0.03185742187500121,-3.762361523437522,
418,418,197.948,Wed Mar 01 12:17:34 2017,419,272.245,57.9231,58.5416,66.3212,63.3885,-4.140402929687471,3.3397197265625262,,9.696418061325536,-1.885959374999981,-0.013804882812505553,
