,agent0_x,time,agent1_x,agent0_y,agent1_angle,agent0_angle,agent1_y
0,Attraction,follows,19.9405,16.7489,241.58599999999998,4.216469999999999,2
1,Attraction,follows,19.9405,16.7489,241.58599999999998,4.216469999999999,2
2,Attraction,follows,19.9405,16.7489,241.58599999999998,4.216469999999999,2
3,Attraction,follows,19.8428,16.9636,244.18099999999998,4.261769999999999,2
4,Attraction,follows,19.7415,17.0709,253.678,4.42751,2
5,Attraction,follows,19.7449,17.1774,265.98900000000003,4.64238,2
6,Attraction,follows,19.6328,16.9636,-85.1713,-1.48652,2
7,Attraction,follows,19.5276,16.9639,-76.5372,-1.3358299999999999,2
8,Attraction,follows,19.5233,16.8568,-57.0842,-0.9963069999999999,2
9,Attraction,follows,19.4179,16.8576,-46.5437,-0.812341,2
10,Attraction,follows,19.4176,16.8579,-38.2936,-0.668349,2
11,Attraction,follows,19.4211,16.9657,-22.2242,-0.387886,2
12,Attraction,follows,19.4244,17.0732,-11.7056,-0.204301,2
13,Attraction,follows,19.5294,17.073,0.363718,0.00634808,2
14,Attraction,follows,19.6346,17.0726,6.51888,0.113776,2
15,Attraction,follows,19.6348,17.0727,12.5691,0.21937199999999998,2
16,Attraction,follows,19.74,17.0722,19.329,0.337354,2
17,Attraction,follows,20.0505,16.9631,15.5146,0.270781,2
18,Attraction,follows,20.2565,16.8547,12.5672,0.21933899999999998,2
19,Attraction,follows,20.8811,16.7435,3.4386699999999997,0.060016099999999996,2
20,Attraction,follows,21.0869,16.6351,0.35115999999999997,0.0061289,2
21,Attraction,follows,21.6136,16.7385,-9.27736,-0.16192,2
22,Attraction,follows,21.9272,16.7365,-8.78289,-0.15329,2
23,Attraction,follows,22.3488,16.8408,-11.7328,-0.20477599999999999,2
24,Attraction,follows,22.9792,16.9439,-8.78144,-0.153265,2
25,Attraction,follows,23.4004,17.0482,-5.76926,-0.10069299999999999,2
26,Attraction,follows,24.0301,17.1512,-2.71349,-0.0473593,2
27,Attraction,follows,24.3429,17.1492,-2.5604299999999998,-0.0446879,2
28,Attraction,follows,24.8647,17.1461,3.45674,0.0603315,2
29,Attraction,follows,24.9687,17.1454,3.3025,0.0576394,2
30,Attraction,follows,25.2816,17.1434,3.45739,0.0603429,2
31,Attraction,follows,25.49,17.1421,3.45773,0.06034880000000001,1
32,Attraction,follows,25.6984,17.1407,3.45804,0.06035419999999999,1
33,Attraction,follows,25.9033,17.0326,0.363754,0.0063487,1
34,Attraction,follows,26.1148,17.1379,-2.71694,-0.047419499999999996,1
35,Attraction,follows,26.3197,17.0297,-5.77911,-0.100865,2
36,Attraction,follows,26.6318,17.0272,-18.3623,-0.320482,2
37,Attraction,follows,26.7391,17.1327,-27.8189,-0.48553199999999996,2
38,Attraction,follows,26.9477,17.1309,-44.6635,-0.779526,2
39,Attraction,follows,27.0551,17.2368,-48.9506,-0.854349,2
40,Attraction,follows,27.1624,17.3426,-53.175,-0.9280790000000001,2
41,Attraction,follows,27.4936,17.9798,-58.7813,-1.02593,2
42,Attraction,follows,27.711,18.2982,-57.2907,-0.9999110000000001,2
43,Attraction,follows,28.0355,18.722,-59.8567,-1.0447,2
44,Attraction,follows,28.1395,18.7209,-65.0793,-1.13585,2
45,Attraction,follows,28.1432,18.8276,-76.7557,-1.33964,2
46,Attraction,follows,28.2475,18.8274,268.756,4.69068,2
47,Attraction,follows,28.147,18.9351,259.418,4.5277,2
48,Attraction,follows,28.1502,19.0414,260.04900000000004,4.53871,1
49,Attraction,follows,28.1565,19.2542,260.048,4.5387,1
50,Attraction,follows,28.0652,19.6805,262.91900000000004,4.58879,1
51,Attraction,follows,27.976999999999997,20.213,-88.2967,-1.5410700000000002,1
52,Attraction,follows,27.9802,20.3192,-88.2967,-1.5410700000000002,1
53,Attraction,follows,27.999000000000002,20.9568,-82.4454,-1.4389399999999999,1
54,Attraction,follows,28.1155,21.3811,-85.3621,-1.48985,1
55,Attraction,follows,28.1409,22.2311,268.757,4.69069,1
56,Attraction,follows,28.1474,22.4438,257.22,4.48934,1
57,Attraction,follows,28.2542,22.5495,248.05700000000002,4.32942,1
58,Attraction,follows,28.26,22.7626,226.812,3.9586099999999997,1
59,Attraction,follows,28.1592,22.8698,217.859,3.80235,1
60,Attraction,follows,28.0579,22.976999999999997,199.503,3.48198,2
61,Attraction,follows,27.9539,22.9779,192.753,3.3641699999999997,2
62,Attraction,follows,27.9539,22.9779,192.753,3.3641699999999997,2
63,Attraction,follows,27.7494,23.0857,183.62900000000002,3.20494,2
64,Attraction,follows,27.5419,23.0877,183.62900000000002,3.20493,2
65,Attraction,follows,26.9195,23.0937,189.74900000000002,3.3117400000000004,1
66,Attraction,follows,26.6084,23.0968,196.49400000000003,3.42947,1
67,Attraction,follows,26.2999,23.2061,198.55700000000002,3.4654800000000003,1
68,Attraction,follows,25.8882,23.3162,209.25,3.6521,1
69,Attraction,follows,25.7846,23.3172,216.054,3.77085,1
70,Attraction,follows,25.6812,23.3178,230.96900000000002,4.0311699999999995,1
71,Attraction,follows,25.6846,23.4238,237.468,4.1446,1
72,Attraction,follows,25.5775,23.3184,241.549,4.21582,1
73,Attraction,follows,25.6783,23.2108,250.785,4.37702,1
74,Attraction,follows,25.5776,23.3182,246.83700000000002,4.30811,2
75,Attraction,follows,25.48,23.5321,235.701,4.11376,2
76,Attraction,follows,25.4831,23.6386,228.96900000000002,3.99626,2
77,Attraction,follows,25.4861,23.7449,222.628,3.88559,2
78,Attraction,follows,25.2842,23.9595,209.25400000000002,3.65217,2
79,Attraction,follows,25.2842,23.9595,209.25400000000002,3.65217,2
80,Attraction,follows,25.0771,23.9612,230.96900000000002,4.0311699999999995,2
81,Attraction,follows,25.0742,23.8544,245.47099999999998,4.28428,2
82,Attraction,follows,24.9667,23.7481,-88.2276,-1.53986,2
83,Attraction,follows,24.9667,23.7481,-88.2276,-1.53986,2
84,Attraction,follows,24.9657,23.7476,-63.7185,-1.1121,2
85,Attraction,follows,24.8579,23.6423,-54.6775,-0.9543020000000001,2
86,Attraction,follows,24.7565,23.7502,-34.1249,-0.595593,2
87,Attraction,follows,24.7562,23.7505,-26.2486,-0.458125,2
88,Attraction,follows,24.649,23.646,-11.5265,-0.201176,2
89,Attraction,follows,24.6524,23.7524,-8.57115,-0.149595,2
90,Attraction,follows,24.5482,23.7534,-8.122589999999999,-0.141766,2
91,Attraction,follows,24.4444,23.7544,-8.570039999999999,-0.149575,2
92,Attraction,follows,24.4444,23.7544,-8.570039999999999,-0.149575,2
93,Attraction,follows,24.6524,23.7524,-8.57115,-0.149595,2
94,Attraction,follows,24.7567,23.7514,-9.068019999999999,-0.15826700000000002,2
95,Attraction,follows,25.3867,23.9571,-20.9439,-0.365539,2
96,Attraction,follows,25.5949,23.9548,-29.0332,-0.506725,2
97,Attraction,follows,25.9098,24.0574,-38.2342,-0.667312,2
98,Attraction,follows,26.1279,24.3734,-52.9992,-0.925011,2
99,Attraction,follows,26.4462,24.5823,-63.7494,-1.11264,2
100,Attraction,follows,26.4523,24.7943,-58.6326,-1.0233299999999999,2
101,Attraction,follows,26.4553,24.9008,-48.7554,-0.850941,2
102,Attraction,follows,26.6657,25.0047,-42.3735,-0.739557,2
103,Attraction,follows,26.6687,25.1111,-31.6441,-0.552294,2
104,Attraction,follows,26.7722,25.11,-30.1181,-0.525659,2
105,Attraction,follows,26.9867,25.3193,-46.532,-0.812137,2
106,Attraction,follows,27.094,25.4239,-58.64,-1.02346,2
107,Attraction,follows,27.311999999999998,25.7397,-82.7035,-1.44345,2
108,Attraction,follows,27.3156,25.8463,265.83299999999997,4.63966,2
109,Attraction,follows,27.322,26.0583,260.043,4.5386,2
110,Attraction,follows,27.2375,26.6956,244.114,4.2605900000000005,2
111,Attraction,follows,27.0398,27.0156,242.648,4.23501,2
112,Attraction,follows,26.9393,27.1227,241.535,4.21558,2
113,Attraction,follows,26.9394,27.1225,246.815,4.30773,2
114,Attraction,follows,27.0398,27.0152,250.75799999999998,4.37656,2
115,Attraction,follows,27.0237,26.4851,268.778,4.69106,2
116,Attraction,follows,27.0171,26.2731,-85.3268,-1.4892299999999998,2
117,Attraction,follows,26.9067,26.0621,-76.6767,-1.33826,2
118,Attraction,follows,26.7895,25.6392,-61.1245,-1.06682,2
119,Attraction,follows,26.6824,25.5345,-57.1282,-0.997075,2
120,Attraction,follows,26.4714,25.4307,-50.6396,-0.883827,2
121,Attraction,follows,26.4678,25.3247,-44.4409,-0.7756390000000001,2
122,Attraction,follows,26.3578,25.1139,-46.5207,-0.8119390000000001,2
123,Attraction,follows,26.3581,25.1136,-54.6904,-0.954527,2
124,Attraction,follows,26.3616,25.2196,-61.1189,-1.06673,2
125,Attraction,follows,26.4663,25.2189,-82.3934,-1.43804,2
126,Attraction,follows,26.3628,25.2203,268.79200000000003,4.69131,2
127,Attraction,follows,26.4668,25.2195,260.058,4.538869999999999,2
128,Attraction,follows,26.4667,25.2204,241.541,4.21569,2
129,Attraction,follows,26.4698,25.3267,235.076,4.10285,2
130,Attraction,follows,26.473000000000003,25.4327,233.262,4.0712,2
131,Attraction,follows,26.4732,25.4324,241.541,4.21568,2
132,Attraction,follows,26.2721,25.6458,260.06,4.53891,2
133,Attraction,follows,26.2752,25.7514,266.14599999999996,4.6451199999999995,2
134,Attraction,follows,26.1745,25.8584,-85.3078,-1.4889,2
135,Attraction,follows,26.177,25.9639,-67.5597,-1.1791399999999999,2
